char_id,era,strength,gender,final_age,final_asset,final_health,final_happiness,final_status,final_humanity,peak_brain,peak_body,peak_social,peak_sense,peak_luck,death_cause,reached_age_80,bankrupt,events_fired
sim_441,近未来,運,女,75,5250000,0,100,33,50,9,5,9,14,28,病死,0,0,0
sim_442,近未来,コミュ,女,81,6630000,0,100,33,0,12,7,74,5,6,病死,1,0,0
sim_443,平成,肉体,女,86,3430000,0,100,34,0,14,74,15,14,6,病死,1,0,0
sim_444,昭和,センス,男,78,1490000,1,100,33,0,7,7,12,84,5,寿命,0,0,0
sim_445,平成,センス,女,78,2390000,0,100,33,0,13,14,8,87,11,病死,0,0,0
sim_446,平成,頭脳,女,77,2260000,0,100,33,0,85,9,8,7,8,病死,0,0,0
sim_447,昭和,コミュ,男,66,530000,47,100,32,0,12,6,71,14,14,老衰,0,0,0
sim_448,令和,センス,男,77,2600000,0,100,33,0,6,5,6,80,15,病死,0,0,0
sim_449,近未来,運,女,80,6400000,0,100,33,50,13,10,13,9,23,病死,1,0,0
sim_450,令和,肉体,男,85,3800000,0,100,34,0,6,89,10,10,13,病死,1,0,0
sim_451,令和,運,男,76,2450000,0,100,33,50,7,14,13,13,20,病死,0,0,0
sim_452,近未来,頭脳,女,79,6170000,0,100,33,0,78,6,11,13,9,病死,0,0,0
sim_453,昭和,センス,女,78,1490000,0,100,33,0,14,14,7,76,6,病死,0,0,0
sim_454,平成,コミュ,女,80,2650000,0,100,33,0,15,8,78,7,10,病死,1,0,0
sim_455,平成,センス,女,78,2390000,0,100,33,0,14,11,9,87,6,病死,0,0,0
sim_456,平成,運,男,79,2520000,0,100,33,50,13,9,12,6,24,病死,0,0,0
sim_457,平成,肉体,男,82,2910000,15,100,33,0,7,74,13,13,5,寿命,1,0,0
sim_458,平成,肉体,男,83,3040000,0,100,33,0,8,90,9,11,15,病死,1,0,0
sim_459,昭和,運,男,76,1330000,3,100,33,50,8,7,12,10,28,寿命,0,0,0
sim_460,平成,肉体,男,83,3040000,0,100,33,0,5,80,13,12,15,病死,1,0,0
sim_461,近未来,コミュ,女,81,6630000,0,100,33,0,14,7,76,13,7,病死,1,0,0
sim_462,平成,肉体,女,84,3170000,0,100,33,0,10,81,10,14,14,病死,1,0,0
sim_463,平成,肉体,女,85,3300000,0,100,34,0,11,82,15,9,7,病死,1,0,0
sim_464,近未来,センス,男,77,5710000,0,100,33,0,12,11,14,78,7,病死,0,0,0
sim_465,令和,運,女,78,2750000,0,100,33,50,11,14,12,6,30,病死,0,0,0
sim_466,近未来,センス,女,78,5940000,6,100,33,0,14,15,8,76,15,寿命,0,0,0
sim_467,令和,肉体,女,84,3650000,0,100,33,0,9,84,15,5,13,病死,1,0,0
sim_468,平成,センス,女,32,50000,96,100,29,0,14,5,6,39,10,老衰,0,0,0
sim_469,令和,運,女,77,2600000,0,100,33,50,5,11,13,8,20,病死,0,0,0
sim_470,昭和,センス,女,75,1250000,0,100,33,0,15,13,7,81,6,病死,0,0,0
sim_471,令和,センス,男,80,3050000,0,100,33,0,8,7,8,85,10,病死,1,0,0
sim_472,昭和,センス,男,74,1170000,26,100,33,0,10,6,14,79,5,寿命,0,0,0
sim_473,昭和,運,男,78,1490000,0,100,33,50,14,9,5,14,30,病死,0,0,0
sim_474,近未来,頭脳,男,77,5710000,0,100,33,0,86,7,14,9,12,病死,0,0,0
sim_475,近未来,頭脳,女,76,5480000,0,100,33,0,86,10,14,15,7,病死,0,0,0
sim_476,平成,センス,女,76,2130000,0,100,33,0,7,11,5,79,6,病死,0,0,0
sim_477,近未来,運,女,81,6630000,0,100,33,50,13,7,15,11,28,病死,1,0,0
sim_478,令和,肉体,女,85,3800000,0,100,34,0,11,86,12,13,8,病死,1,0,0
sim_479,平成,肉体,女,82,2910000,11,100,33,0,10,86,11,15,13,寿命,1,0,0
sim_480,平成,センス,男,78,2390000,0,100,33,0,11,14,10,82,9,病死,0,0,0
sim_481,平成,頭脳,女,75,2000000,4,100,33,0,85,8,12,8,7,寿命,0,0,0
