char_id,era,strength,gender,final_age,final_asset,final_health,final_happiness,final_status,final_humanity,peak_brain,peak_body,peak_social,peak_sense,peak_luck,death_cause,reached_age_80,bankrupt,events_fired
sim_469,昭和,頭脳,女,83,1890000,36,100,33,0,78,5,12,7,12,寿命,1,0,83
sim_470,令和,運,女,91,4700000,0,100,34,50,8,14,5,12,61,病死,1,0,91
sim_471,平成,コミュ,女,88,3690000,0,100,34,0,6,7,99,8,14,病死,1,0,88
sim_472,昭和,肉体,女,92,2610000,31,100,34,0,11,84,6,10,6,寿命,1,0,92
sim_473,昭和,運,男,91,2530000,0,100,34,50,10,6,6,12,57,病死,1,0,91
sim_474,昭和,コミュ,女,86,2130000,15,100,34,0,6,14,90,8,14,寿命,1,0,86
sim_475,令和,運,女,94,5150000,0,100,34,50,10,11,10,14,68,病死,1,0,94
sim_476,平成,センス,女,91,4080000,10,100,34,0,7,13,7,89,13,寿命,1,0,91
sim_477,近未来,運,女,93,9390000,0,100,34,50,12,12,10,15,62,病死,1,0,93
sim_478,近未来,頭脳,女,92,9160000,0,100,34,0,97,7,11,15,12,病死,1,0,92
sim_479,近未来,頭脳,男,93,9390000,0,100,34,0,91,12,14,10,15,病死,1,0,93
sim_480,平成,肉体,女,82,2910000,53,100,33,0,13,84,15,7,11,寿命,1,0,82
sim_481,近未来,コミュ,女,92,9160000,0,100,34,0,14,6,96,9,6,病死,1,0,92
sim_482,近未来,肉体,男,8,50000,100,76,29,0,7,30,11,14,5,老衰,0,0,8
sim_483,平成,コミュ,女,90,3950000,5,100,34,0,5,9,92,13,14,寿命,1,0,90
sim_484,近未来,運,男,84,7320000,14,100,33,50,11,10,12,14,63,老衰,1,0,84
sim_485,平成,運,男,91,4080000,0,100,34,50,10,9,14,5,65,病死,1,0,91
sim_486,令和,センス,女,89,4400000,18,100,34,0,11,5,12,91,6,寿命,1,0,89
sim_487,令和,肉体,男,101,6200000,0,100,35,0,11,93,11,7,15,病死,1,0,101
sim_488,平成,センス,女,87,3560000,17,100,34,0,6,10,5,86,11,寿命,1,0,87
sim_489,近未来,コミュ,男,91,8930000,0,100,34,0,8,6,97,12,5,病死,1,0,91
sim_490,平成,運,男,90,3950000,0,100,34,50,5,13,10,13,64,病死,1,0,90
sim_491,令和,肉体,女,94,5150000,27,100,34,0,5,98,13,12,14,寿命,1,0,94
sim_492,令和,運,男,92,4850000,0,100,34,50,5,9,9,5,63,病死,1,0,92
sim_493,令和,肉体,男,101,6200000,8,100,35,0,6,96,8,15,9,寿命,1,0,101
